ano,mes,data,regiao,uf,cidade,turistas,turistas_estrangeiros,ocupacao_hoteleira,gasto_medio,faturamento_turismo,eventos_realizados,temperatura_media,nivel_temporada
2015,1,2015-01-01,Norte,AM,Manaus,233689,47282,68.73,696.92,6122437.53,6,25.8,Média
2015,1,2015-01-01,Norte,PA,Belém,40837,41637,90.38,806.78,122192256.23,9,29.9,Baixa
2015,1,2015-01-01,Norte,PA,Santarém,393947,72315,89.25,1073.61,21025374.0,7,21.9,Baixa
2015,1,2015-01-01,Norte,RO,Porto Velho,278109,30614,91.51,237.15,76011333.17,8,25.5,Alta
2015,1,2015-01-01,Norte,TO,Palmas,282562,73139,76.32,791.34,166329202.46,5,28.6,Alta
2015,1,2015-01-01,Nordeste,BA,Salvador,239701,17444,34.17,1069.73,77623892.81,6,18.8,Média
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,479428,67496,73.94,1008.05,80275265.24,13,19.8,Baixa
2015,1,2015-01-01,Nordeste,PE,Recife,75569,69766,80.8,1165.68,70386524.65,13,27.8,Baixa
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,109095,35886,50.69,239.38,52970685.93,9,26.3,Baixa
2015,1,2015-01-01,Nordeste,CE,Fortaleza,151281,13831,29.61,603.38,185382428.4,8,22.2,Baixa
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,265480,76697,73.99,1149.87,62757159.58,7,17.1,Baixa
2015,1,2015-01-01,Nordeste,MA,São Luís,168300,70839,75.2,1085.49,123321290.49,9,33.0,Alta
2015,1,2015-01-01,Nordeste,PB,João Pessoa,338460,21212,84.88,465.78,30205213.32,12,28.4,Alta
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,313596,24123,77.69,899.47,158907746.91,3,22.8,Baixa
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,330901,12533,49.65,932.45,22231832.57,6,22.0,Alta
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,178321,72258,25.02,1139.28,168925898.17,10,25.8,Alta
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,201991,14206,94.73,433.13,116353771.26,13,25.8,Média
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,280814,71448,75.9,655.78,42209756.74,10,28.1,Média
2015,1,2015-01-01,Sudeste,SP,São Paulo,50639,29855,54.57,342.97,114713496.82,11,19.6,Alta
2015,1,2015-01-01,Sudeste,SP,Campinas,381757,46624,34.94,1187.58,47115974.56,13,25.9,Alta
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,204217,5042,55.71,1166.36,109573678.26,16,22.3,Baixa
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,390389,66285,91.38,436.68,112048596.85,8,23.5,Média
2015,1,2015-01-01,Sudeste,RJ,Niterói,473122,48198,36.28,191.94,107887313.65,11,23.9,Baixa
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,77422,21301,94.2,583.28,76604862.93,6,27.6,Baixa
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,164751,53006,56.71,580.87,26896713.9,8,21.6,Alta
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,471266,5796,40.99,202.78,189421685.94,14,21.2,Baixa
2015,1,2015-01-01,Sudeste,MG,Uberlândia,442273,59679,36.69,396.8,106924528.81,13,28.3,Média
